search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de filtros do alto-falante,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Modelo alfanumérico,Voltagem,Tipos de alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Cor
21, Caixa Amplificada Ativa Edifier - R1700bt - Bluetooth 66w ,189,NA,"
			
				Novo
			
			
				
					 - 
				
				929
				vendidos
			
		",(18 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1582
		
		 sem juros
		
	

	
		",82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,162,https://perfil.mercadolivre.com.br/123INBOX,https://produto.mercadolivre.com.br/MLB-1097049569-caixa-de-som-bluetooth-amplificada-com-microfone-mp3-usb-_JM,112,26,14,6,4,#1097049569,IMPORTADO RPC,FBX-103,25 W,Subwoofer Embutido,NA,NA,NA,NA,NA,Subwoofer,"Festas em Geral, Praia, Sítios, Eventos Diversos",Torre,BLUETOOTH,NA,"Entrada para Microfone P2 e P10, USB",NA,NA,NA,NA,2.4 kg,NA
22, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,36,NA,"
			
				Novo
			
			
				
					 - 
				
				737
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 684
		
		 sem juros
		
	

	
		",84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,24,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://produto.mercadolivre.com.br/MLB-1190350399-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM,18,0,2,2,2,#1190350399,Goldenultra,Torre,10 W,Ativo/Passivo,NA,NA,Caixa de Som,NA,Bivolt,NA,NA,Caixa,NA,NA,USB,NA,NA,NA,NA,NA,NA
23, Caixa Caixinha Som Portátil Usb Bluetooth P2 Fm Mp3 ,476,NA,"
			
				Novo
			
			
				
					 - 
				
				274
				vendidos
			
		",(24 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4554
		
		 sem juros
		
	

	
		",54,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,178,https://perfil.mercadolivre.com.br/MCACESSORIO,https://produto.mercadolivre.com.br/MLB-1178843183-caixa-som-amplificada-bluetooth-290w-portatil-led-sub-12-tws-_JM,135,29,10,1,3,#1178843183,AMVOX,ACA 292 NEW X PRETO BIVOL,290 W,Ativo,NA,NA,NA,NA,110/220V (Bivolt),Subwoofer e Tweeter,De piso,Caixa,2.1,NA,NA,NA,NA,NA,NA,7.6 kg,Preto
24, Caixa Caixinha Som Portátil Bluetooth Mp3 Pen Drive 200w E83 ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				456
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1529
		
		 sem juros
		
	

	
		",29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,30,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://produto.mercadolivre.com.br/MLB-1208611850-kit-10-mini-caixinha-som-bluetooth-portatil-usb-mp3-p2-sd-_JM,29,0,1,0,0,#1208611850,Goldenultra,Ws-887,3 W, ,NA,NA,NA,NA, ,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA,Pele
25, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,71,74,"
			
				Novo
			
			
				
					 - 
				
				2397
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 681
		
		 sem juros
		
	

	
		",81,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,172,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1154336658-caixa-som-amplificada-bluetooth-portatil-mp3-radio-fm-usb-p2-_JM,142,18,8,2,2,#1154336658,Altomex,AL-M01,10 W,Tweeter,NA,NA,Caixa de Som,NA,NA,Tweeter,Portátil,Caixa,Não,NA,USB,NA,NA,NA,NA,700 g,NA
26, Kit Caixa Som Bluetooth Caixinha Usb Sd Rádio - Atacado 4 Un ,179,NA,"
			
				Novo
			
			
				
					 - 
				
				135
				vendidos
			
		",(26 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1492
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1531,https://perfil.mercadolivre.com.br/ELETROPRINTER,https://produto.mercadolivre.com.br/MLB-1243855044-caixa-de-som-jbl-go-2-portatil-3w-bluetooth-original-_JM,1406,98,19,4,4,#1243855044,JBL,GO 2,3 W,NA,NA,NA,NA,NA,NA,NA,Portátil,Quadrado,NA,NA,NA,80 dB,NA,NA,NA,184 g,NA
27, Caixa Speaker Google Home Mini -sem Caixa -veja Video Novo ,19,NA,"
			
				Novo
			
			
				
					 - 
				
				838
				vendidos
			
		",(10 disponíveis),"
	
		
			
		
		3x 
		
			
				R$ 708
		
		 sem juros
		
	

	
		",08,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,28,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://produto.mercadolivre.com.br/MLB-1196773201-mini-caixinha-som-bluetooth-portatil-usb-mp3-p2-sd-radio-fm-_JM,25,1,2,0,0,#1196773201,Goldenultra,Ws-887,3 W, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA,NA
28, Kit 2 Caixa Som Bluetooth Portátil Rádio Fm Mp3 Usb Sd 300w ,24,NA,"
			
				Novo
			
			
				
					 - 
				
				252
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 673
		
		 sem juros
		
	

	
		",73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.0,5,https://perfil.mercadolivre.com.br/DNR+IMPORT,https://produto.mercadolivre.com.br/MLB-1081373892-caixa-som-portatil-bluetooth-5w-celular-sd-usb-radio-fm-ws-_JM,3,1,0,0,1,#1081373892,Importado,WS-887,5 W,Subwoofer,NA,NA,Caixa De Som Portátil,NA,110V/220V (Bivolt),Subwoofer,Portatil,Caixa,7.1,NA,NA,NA,NA,NA,NA,249 g,NA
29, Caixa De Som Bluetooth Com Microfone Mp3 Player Radio Fm 546 ,189,NA,"
			
				Novo
			
			
				
					 - 
				
				306
				vendidos
			
		",(20 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1816
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,12,https://perfil.mercadolivre.com.br/123INBOX,https://produto.mercadolivre.com.br/MLB-1097047029-caixa-de-som-portatil-bluetooth-amplificada-microfone-gratis-_JM,11,1,0,0,0,#1097047029,IMPORTADO RPC,FBX-103,25 W,AMPLIFICADO,NA,NA,BLIETOOTH,NA,BIVOLT AUTOMÁTICO 110/220V,Subwoofer,"Festas em Geral, Praia, Sítios, Eventos",Torre,BLUETOOTH,NA,Entrada para Microfone P2 e P10,NA,NA,NA,NA,2.4 kg,Preto
30, Caixa De Som Amplificada Bluetooth 2000w Fortress Sumay ,43,NA,"
			
				Novo
			
			
				
					 - 
				
				823
				vendidos
			
		",(33 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 814
		
		 sem juros
		
	

	
		",14,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,23,https://perfil.mercadolivre.com.br/POLARIS+VARIEDADES,https://produto.mercadolivre.com.br/MLB-1241923030-caixa-de-som-portatil-mini-3-bluetooth-fm-pen-drive-_JM,15,4,3,1,0,#1241923030,JBL,Tipo Charge Mini 3+,20 W,Woofer,20 Hz,65 Hz,NA,NA,NA,Woofer,"Ar livre, Festas, Lazer",Caixa,4.1,2,USB,80 dB,NA,NA,NA,400 g,NA
31, Kit 10 Mini Caixinha Som Bluetooth Portátil Usb Mp3 P2 Sd ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				106
				vendidos
			
		",(25 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1520
		
		 sem juros
		
	

	
		",20,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-1152384588-caixa-de-som-jbl-wind-bluetooth-3-watts-preto-jblwind-_JM,NA,NA,NA,NA,NA,#1152384588,JBL,Caixa de Som,3 W,mono,NA,NA,NA,NA,NA,Woofer,moto,Caixa,2.1,NA,NA,NA,NA,NA,NA,340 g,Preto
32, Caixa De Som Speaker Google Home Mini Wi-fi Vitrine ,779,NA,"
			
				Novo
			
			
				
					 - 
				
				154
				vendidos
			
		",(72 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7455
		
		 sem juros
		
	

	
		",55,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,164,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1166277766-caixa-som-bluetooth-5000w-potente-amplificada-amvox-_JM,117,27,11,4,5,#1166277766,AMVOX,ACA 501,500 W,NA,NA,NA,NA,NA,110V/220V (Bivolt),NA,NA,Caixa,NA,NA,USB,NA,NA,NA,NA,NA,NA
33, Caixa Caixinha De Som Portátil Bluetooth Exbom M33bt Mp3 Fm ,227,NA,"
			
				Novo
			
			
				
					 - 
				
				171
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2179
		
		 sem juros
		
	

	
		",79,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,11,https://perfil.mercadolivre.com.br/GOLD_TECH,https://produto.mercadolivre.com.br/MLB-1228293421-caixa-som-bluetooth-portatil-amplificada-mp3-usb-2-microfone-_JM,8,3,0,0,0,#1228293421,Briwax,FBX-107,40 W,Tweeter,NA,NA,NA,NA,NA,Tweeter,NA,Caixa,2.1,NA,Entrada para Microfone,NA,NA,NA,NA,2.75 kg,NA
34," Caixa De Som Original Jbl Go 2 À Prova Dágua Bluetooth 3,1w ",125,NA,"
			
				Novo
			
			
				
					 - 
				
				337
				vendidos
			
		",(16 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1199
		
		 sem juros
		
	

	
		",99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,11,https://perfil.mercadolivre.com.br/TG-SANTOS,https://produto.mercadolivre.com.br/MLB-1078576031-kit-caixa-som-bluetooth-caixinha-usb-sd-radio-atacado-4-un-_JM,8,2,0,0,1,#1078576031,Grasep,D-BH1064,6 W,Mini tweeter,NA,NA,NA,NA,NA,Subwoofer,Portátil,Caixa,2.1,NA,NA,NA,NA,NA,NA,NA,NA
35, Caixa De Som 6 Em 1 Amplificada Com Bluetooth Usb Mp3 Sd Mic ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				537
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 625
		
		 sem juros
		
	

	
		",25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,26,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1175966463-kit-2-caixa-som-bluetooth-portatil-radio-fm-mp3-usb-sd-300w-_JM,19,3,2,1,1,#1175966463,Goldenultra,GT-356BT,8 W,Portátil ,NA,NA,NA,NA,Bivolt,NA,NA,Caixa,NA,NA,"P2, USB,Leitor SD, Auxiliar P2",NA,NA,NA,NA,518 g,Pele
36, Caixa De Som Charge 2+ Bluetooth Usb Pronta Entrega Promoção ,749,NA,"
			
				Novo
			
			
				
					 - 
				
				172
				vendidos
			
		",(72 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7168
		
		 sem juros
		
	

	
		",68,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,164,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1166296703-caixa-som-bluetooth-churrasco-festa-500w-rms-amvox-_JM,117,27,11,4,5,#1166296703,AMVOX,ACA 501,500 W,Ativo,NA,NA,Caixa amplificada Bluetooth,NA,110/220 V,NA,NA,Caixa,NA,NA,P2,NA,NA,NA,NA,NA,NA
37, Kit 2 Caixa Som Bluetooth Portátil Rádio Fm Mp3 Usb Sd 300w ,899,NA,"
			
				Novo
			
			
				
					 - 
				
				76
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7492
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,25,https://perfil.mercadolivre.com.br/ELETROHALEN,https://produto.mercadolivre.com.br/MLB-1000777273-caixa-amplificada-ativa-edifier-r1700bt-bluetooth-66w-_JM,24,1,0,0,0,#1000777273,Edifier,R1700BT,66 W,Tweeter,NA,NA,NA,NA,NA,Woofer,"Estudios, Som Ambiente, Sala, Quarto",Caixa,2.0,NA,RCA,NA,NA,NA,NA,NA,NA
38, Google Home Assistente Pessoal Caixa De Som Original Vitrine ,69,NA,"
			
				Novo
			
			
				
					 - 
				
				284
				vendidos
			
		",(121 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 668
		
		 sem juros
		
	

	
		",68,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.9,8,https://perfil.mercadolivre.com.br/ARTFLEXSUPORTES,https://produto.mercadolivre.com.br/MLB-1170112341-caixinha-caixa-de-som-usb-bluetooth-charge-2-mini-_JM,3,2,2,1,0,#1170112341,Importado,MS-144BT,15 W,Ativo,NA,NA,Top,NA,NA,Super tweeter,todos,Caixa,5.1,2,USB,80 dB,NA,NA,NA,NA,NA
39, Caixa Som Torre Amplificada Bluetooth 500w - Usb Fm Oferta ,339,NA,"
			
			
				
				2410
				vendidos
			
		",(873 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3249
		
		 sem juros
		
	

	
		",49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,278,https://perfil.mercadolivre.com.br/PIU+SHOP?brandId=1849,https://produto.mercadolivre.com.br/MLB-680896899-caixa-multiuso-amplificada-50-rms-8-bluetoothusbsdfmcont-_JM,190,57,24,3,4,#680896899,Datrel,DMU-8.50 BLUETOOTH,50 W,Caixa,NA,NA,Multiuso,NA,110V/220V (Bivolt),Woofer,De piso,Caixa,NA,1,RCA,NA,NA,NA,NA,NA,NA
40, Caixa De Som Bluetooth Amplificada Com Microfone Mp3 Usb ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				386
				vendidos
			
		",(23 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 925
		
		 sem juros
		
	

	
		",25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,28,https://perfil.mercadolivre.com.br/BREVISTORE,https://produto.mercadolivre.com.br/MLB-939772594-caixa-caixinha-de-som-portatil-bluetooth-exbom-m33bt-mp3-fm-_JM,17,8,3,0,0,#939772594,Exbom,CS-M33BT,10 W,Ativo/Passivo,20 kHz,85 Hz,Bluetooth,CS-M33BT,110/220v Bi-volt ou 5v USB,Subwoofer,"Sala, Quarto, Cozinha, Praia, Sítio",Caixa,1.1,2,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão",NA,NA,NA,NA,NA,NA
41, Caixa Som Musica Caixinha Smartphone Android Bluetooth ,370,NA,"
			
			
				
				224
				vendidos
			
		",(31 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3091
		
		 sem juros
		
	

	
		",91,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,19,https://perfil.mercadolivre.com.br/DUTRA_MAQUINAS?brandId=104,https://produto.mercadolivre.com.br/MLB-1064889332-caixa-amplificada-multi-connect-120w-mco-06-mondial-bivolt-_JM,15,3,1,0,0,#1064889332,Mondial,MCO-06,120 W,NA,NA,NA,Multi Connect,MCO-06,(Bivolt),NA,NA,Caixa,NA,NA,NA,NA,43 cm,NA,30 cm,2.75 kg,Preto
42, Mini Caixinha Som Bluetooth Portátil Usb Mp3 P2 Sd Rádio Fm ,129,NA,"
			
				Novo
			
			
				
					 - 
				
				286
				vendidos
			
		",(809 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1075
		
		 sem juros
		
	

	
		",75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1921,https://perfil.mercadolivre.com.br/LACORTE+IMPORTS,https://produto.mercadolivre.com.br/MLB-1252145655-caixa-som-bluetooth-xtreme-mini-potente-40w-rms-radio-fm-_JM,1241,335,177,67,101,#1252145655,JBL,Com LED,40 W,Subwoofer,20 kHz,70 Hz,NA,NA,NA,Subwoofer,Portatil,Caixa,5.1,1,USB,80 dB,NA,NA,NA,780 g,NA
43, Mini Caixa Caixinha Som Bluetooth Mp3 Fm Sd Usb Aux Promoção ,35,NA,"
			
				Novo
			
			
				
					 - 
				
				7083
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 664
		
		 sem juros
		
	

	
		",64,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,648,https://perfil.mercadolivre.com.br/FLATSHOP,https://produto.mercadolivre.com.br/MLB-755110784-caixa-caixinha-som-portatil-bluetooth-mp3-pen-drive-200w-e83-_JM,423,134,60,12,19,#755110784,Altomex,Não Descrito,6 W,Woofer,NA,NA,Caixa de Som portátil,NA,Alimentação USB,Subwoofer,Casa / Parque / Praia / Viagem / etc,Caixa,NA,1,USB,NA,NA,NA,NA,300 g,NA
44, Caixa Som Amplificada Bluetooth 290w Portátil Led Sub 12 Tws ,489,NA,"
			
				Novo
			
			
				
					 - 
				
				511
				vendidos
			
		",(805 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4083
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,27,https://perfil.mercadolivre.com.br/MEGAOFERTA1000,https://produto.mercadolivre.com.br/MLB-1029365629-caixa-som-soundbar-bluetooth-mts-2018-tomate-tv-celular-120w-_JM,20,7,0,0,0,#1029365629,RCA,MTS2018,120 W,Subwoofer,NA,NA,NA,NA,NA,imbutido,NA,NA,3,NA,NA,NA,NA,NA,7 cm,NA,NA
45," Caixa Multiuso Amplificada 50 Rms 8 Bluetooth,usb+sd+fm+cont ",168,NA,"
			
			
				
				502
				vendidos
			
		",(51 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1615
		
		 sem juros
		
	

	
		",15,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,120,https://perfil.mercadolivre.com.br/EFACILOFICIAL?brandId=752,https://produto.mercadolivre.com.br/MLB-1074194401-caixa-amplificadora-mondial-mco-07usb-bluetooth-80w-rms-_JM,75,26,8,3,8,#1074194401,Mondial,MCO-07,80 W,Ativo,NA,NA,Multi Connect,MCO-07,NA,NA,NA,Caixa,NA,NA,NA,NA,32 cm,12 cm,22 cm,2.2 kg,NA
46, Caixa Som Torre Bluetooth Mp3 P2 Usb Sd Pendrive + Microfone ,72,NA,"
			
				Novo
			
			
				
					 - 
				
				114
				vendidos
			
		",(32 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 693
		
		 sem juros
		
	

	
		",93,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,9,https://perfil.mercadolivre.com.br/SUEDVENDAS,https://produto.mercadolivre.com.br/MLB-1043853042-bazooquinha-pulse-3-bluetooth-caixa-de-som-usb-sd-mp3-fm-_JM,5,2,2,0,0,#1043853042,A Importes,Pulse 3,20 W,Subwoofer,NA,NA,NA,NA,NA,Woofer,portátil,Caixa,Não,NA,NA,NA,NA,NA,NA,NA,NA
47, Caixa De Som Bluetooth Amplificada 25w Portátil Karaokê Fm ,186,NA,"
			
				Novo
			
			
				
					 - 
				
				583
				vendidos
			
		",(121 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1556
		
		 sem juros
		
	

	
		",56,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,895,https://perfil.mercadolivre.com.br/FASTBUYBRASIL,https://produto.mercadolivre.com.br/MLB-959398145-caixa-de-som-portatil-jbl-wind-p-moto-e-bike-p2-e-bluetooth-_JM,723,119,36,6,11,#959398145,JBL,Wind,3 W,Ativo,20 kHz,120 Hz,Wind,NA,NA,NA,Capacete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48, Caixa Som Banheiro Prova Dágua Bluetooth Envio Rápido ,224,NA,"
			
				Novo
			
			
				
					 - 
				
				110
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2150
		
		 sem juros
		
	

	
		",50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,7,https://perfil.mercadolivre.com.br/POWER+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1164624221-caixa-som-bluetooth-amplificada-40w-rms-usb-radio-controle-_JM,5,2,0,0,0,#1164624221,Briwax,FBX-107,40 W,Tweeter,NA,NA,NA,NA,NA,Tweeter,De piso,Caixa,5.1,NA,Entrada para Microfone,NA,NA,NA,NA,2.75 kg,NA
49, Caixinha Som Portátil Wireless Bluetooth Mp3 Usb Fm Sd Aux ,24,NA,"
			
				Novo
			
			
				
					 - 
				
				821
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 673
		
		 sem juros
		
	

	
		",73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,37,https://perfil.mercadolivre.com.br/CONNECT+PLANET,https://produto.mercadolivre.com.br/MLB-765776943-caixa-caixinha-som-portatil-5w-mp3-micro-sd-usb-radio-fm-ws-_JM,23,8,2,0,4,#765776943,Importado,WS-887,5 W,Subwoofer,16 kHz,280 Hz,Caixa De Som Portátil,NA,110V/220V (Bivolt),Subwoofer,Portatil,Caixa,7.1,NA,USB,NA,NA,NA,NA,249 g,NA
50, Kit 10 Caixinha De Som Ws 887 Bluetooth Usb Pendrive Atacado ,55,NA,"
			
				Novo
			
			
				
					 - 
				
				120
				vendidos
			
		",(31 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 560
		
		 sem juros
		
	

	
		",60,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,8,https://perfil.mercadolivre.com.br/HDV.VENDAS,https://produto.mercadolivre.com.br/MLB-1191620434-mini-radio-fm-portatil-recarregavel-am-sw-mp3-p2-preto-nf-_JM,7,0,1,0,0,#1191620434,Briwax,BX-670,3 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,NA,NA
51, Caixa De Som Speaker Google Home Mini Wifi Vitrine Portugues ,307,NA,"
			
				Novo
			
			
				
					 - 
				
				192
				vendidos
			
		",(14 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2567
		
		 sem juros
		
	

	
		",67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,52,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1059943320-caixa-de-som-multilaser-bluetooth-festa-120w-rms-sp280-loi-_JM,44,5,3,0,0,#1059943320,Multilaser,SP280,120 W,Woofer,NA,NA,Bluetooth,NA,(Bivolt),Woofer,"Mesa, Portátil",Acomplado,NA,NA,NA,80 dB,NA,NA,NA,3.6 kg,NA
52, Caixa De Som Jbl Flip 4 Bluetooth Cor Preta Original ,69,NA,"
			
				Novo
			
			
				
					 - 
				
				179
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 669
		
		 sem juros
		
	

	
		",69,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.4,10,https://perfil.mercadolivre.com.br/BREVISTORE,https://produto.mercadolivre.com.br/MLB-1193013720-caixa-caixinha-de-som-bluetooth-portatil-df6-mp3-fm-am-retr-_JM,3,2,2,2,1,#1193013720,Grasep,D-F6,8 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53, Caixa De Som Portátil Mini 3+ Bluetooth Fm Pen Drive ,755,NA,"
			
				Novo
			
			
				
					 - 
				
				95
				vendidos
			
		",(86 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6299
		
		 sem juros
		
	

	
		",99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,164,https://perfil.mercadolivre.com.br/LHCOMERCIO,https://produto.mercadolivre.com.br/MLB-1187377119-caixa-som-amplificada-bluetooth-500w-tws-portatil-led-sub-15-_JM,117,27,11,4,5,#1187377119,AMVOX,ACA 501 NEW X PRETO BIVOL,500 W,Ativo,NA,NA,NA,NA,110/220V (Bivolt),Woofer e Tweeter,De piso,Caixa,2.1,NA,NA,NA,NA,NA,NA,13.1 kg,Preto
54, Caixa Som Bluetooth Amplificada 65w Rms Mp3 Fm Usb Microfone ,179,NA,"
			
				Novo
			
			
				
					 - 
				
				943
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1720
		
		 sem juros
		
	

	
		",20,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,104,https://perfil.mercadolivre.com.br/NETUNO.WEB,https://produto.mercadolivre.com.br/MLB-998492307-caixa-som-bluetooth-amplificada-65w-rms-mp3-fm-usb-microfone-_JM,71,19,5,3,6,#998492307,Briwax,FBX-105,65 W,Ativo/Passivo,NA,NA,Premium+,NA,NA,Woofer,De piso,Caixa,5.1,NA,"Pendrive, Microfone, MicroSD, P2, Auxiliar, P10",NA,NA,NA,NA,NA,NA
55, Caixa De Som Bluetooth Amplificada 40w Rms Karaokê Mp3 Fm Sd ,214,NA,"
			
				Novo
			
			
				
					 - 
				
				172
				vendidos
			
		",(18 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2055
		
		 sem juros
		
	

	
		",55,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,9,https://perfil.mercadolivre.com.br/NETUNO.WEB,https://produto.mercadolivre.com.br/MLB-1131066256-caixa-de-som-bluetooth-amplificada-40w-rms-karaok-mp3-fm-sd-_JM,7,0,0,0,2,#1131066256,Briwax,FBX-107,40 W,Tweeter,80 kHz,18 kHz,NA,NA,Bivolt,Tweeter,De piso,Caixa,2.1,2,Entrada para Microfone,NA,NA,NA,NA,2.75 kg,NA
56, Caixa Som Amplificada Bluetooth 150w Bateria Recarregável ,429,NA,"
			
				Novo
			
			
				
					 - 
				
				200
				vendidos
			
		",(24 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3575
		
		 sem juros
		
	

	
		",75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,41,https://perfil.mercadolivre.com.br/RPGROUPBRASIL,https://produto.mercadolivre.com.br/MLB-1103713915-caixa-som-amplificada-bluetooth-150w-bateria-recarregavel-_JM,26,7,4,3,1,#1103713915,AMVOX,ACA 768,150 W,Tweeter,NA,NA,ACA,NA,Bivolt,Tweeter,todos ambientes,Caixa,5.1,NA,NA,NA,NA,NA,NA,4800 kg,Preto
